it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D
Z_AA_0,AA,13.830511,13.93237,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538
Z_AA_1,AA,13.830511,13.93237,15.234639,15.234538,15.234629,15.234528,15.234629,15.234528,15.234629,15.234528
Z_AA_2,AA,13.830507,13.932373,15.234624,15.234523,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538
Z_AA_3,AA,13.830507,13.932373,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523
Z_AB_0,AB,6.8234644,13.245025,7.731067,12.923302,7.731067,12.923302,7.731067,12.923302,14.396319,14.396221
Z_AB_1,AB,13.775823,13.775728,14.396322,14.396223,14.396315,14.396217,14.396315,14.396217,14.396315,14.396217
Z_AB_2,AB,6.823457,13.24503,7.7310495,12.923308,14.396319,14.396221,14.396322,14.396223,14.396322,14.396223
Z_AB_3,AB,13.77582,13.775726,14.396315,14.396217,14.396315,14.396217,14.396315,14.396217,14.396315,14.396217
Z_AC_0,AC,0.19701044,12.871291,0.19701044,12.871291,7.625225,9.247159,7.625225,9.247159,13.698914,13.698819
Z_AC_1,AC,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819
Z_AC_2,AC,0.19701342,12.871299,0.19701342,12.871299,7.6252074,9.247167,13.698914,13.698819,13.698914,13.698819
Z_AC_3,AC,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819
Z_AD_0,AD,6.7690415,8.985508,7.625225,9.247159,7.625225,9.247159,7.625225,9.247159,13.698914,13.698819
Z_AD_1,AD,6.7690415,8.985508,7.625225,9.247159,13.698914,13.698819,13.698914,13.698819,7.625208,9.247164
Z_AD_2,AD,6.7690353,8.985511,7.625208,9.247164,7.6252074,9.247167,13.698914,13.698819,13.698914,13.698819
Z_AD_3,AD,6.7690353,8.985511,7.625208,9.247164,7.625208,9.247164,7.625213,9.24716,7.625213,9.24716
Z_AE_0,AE,0.112492695,8.533392,0.18830636,8.489405,7.0102034,7.010102,7.0102034,7.010102,7.0101967,7.0100946
Z_AE_1,AE,0.112492695,8.533392,0.18830636,8.489405,0.18830636,8.489405,0.18830636,8.489405,7.010201,7.0100994
Z_AE_2,AE,0.11249486,8.533397,0.18830918,8.489412,0.18830918,8.489412,7.0101967,7.0100946,7.0101967,7.0100946
Z_AE_3,AE,0.11249486,8.533397,0.18830918,8.489412,7.010201,7.0100994,7.0102034,7.010102,7.0102034,7.010102
Z_AF_0,AF,0.05594259,4.2186327,0.18143012,4.5325813,0.18143012,4.532589,6.5832305,6.5831375,6.5832305,6.5831375
Z_AF_1,AF,0.05594259,4.2186327,0.18143012,4.5325813,0.18143012,4.5325813,0.1814301,4.532578,0.1814301,4.532578
Z_AF_2,AF,0.05594424,4.218635,0.18143293,4.532586,0.18143293,4.532586,0.18143293,4.532586,6.5832305,6.5831375
Z_AF_3,AF,0.05594424,4.218635,0.18143293,4.532586,6.5832305,6.5831375,6.5832305,6.5831375,0.18143012,4.5325813
Z_AG_0,AG,6.8234615,13.245027,14.396322,14.396223,14.396322,14.396223,14.396319,14.396221,7.731067,12.923302
Z_AG_1,AG,6.8234615,13.245027,14.396322,14.396223,7.7310553,12.923307,14.396315,14.396217,14.396322,14.396223
Z_AG_2,AG,6.8234577,13.245029,14.396315,14.396217,14.396322,14.396223,14.396319,14.396221,7.731067,12.923302
Z_AG_3,AG,6.8234577,13.245029,14.396315,14.396217,14.396315,14.396217,7.7310495,12.923308,14.396319,14.396221
Z_AH_0,AH,0.19701146,12.871295,13.698914,13.698819,7.625225,9.247159,7.625225,9.247155,0.19701044,12.871291
Z_AH_1,AH,0.19701146,12.871295,13.698914,13.698819,7.625213,9.24716,7.625208,9.247164,13.698914,13.698819
Z_AI_0,AI,13.830508,13.932372,15.234629,15.234528,15.234629,15.234528,15.234629,15.234528,15.234629,15.234528
Z_AI_1,AI,13.830511,13.93237,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538,15.234624,15.234523
Z_AI_2,AI,13.830508,13.932372,15.234629,15.234528,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523
Z_AI_3,AI,13.830507,13.932373,15.234624,15.234523,15.234624,15.234523,15.234629,15.234528,15.234629,15.234528
Z_AJ_0,AJ,6.823458,13.245029,7.7310553,12.923307,7.7310553,12.923307,14.396315,14.396217,14.396322,14.396223
Z_AJ_1,AJ,13.775823,13.775728,14.396322,14.396223,14.396322,14.396223,14.396319,14.396221,14.396319,14.396221
Z_AJ_2,AJ,6.823458,13.245029,7.7310553,12.923307,14.396315,14.396217,7.7310495,12.923308,14.396319,14.396221
Z_AJ_3,AJ,13.77582,13.775726,14.396315,14.396217,14.396315,14.396217,14.396315,14.396217,14.396322,14.396223
Z_AK_0,AK,0.19701047,12.871296,0.19701047,12.871296,7.625213,9.24716,7.625208,9.247164,13.698914,13.698819
Z_AK_1,AK,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819
Z_AL_0,AL,6.7001805,8.960708,7.5189238,8.5412,7.5189238,8.5412,7.518919,8.541202,7.5189357,8.541194
Z_AL_1,AL,0.13298763,8.558206,0.19263396,9.196343,7.1125417,7.1124444,7.5189357,8.541194,7.5189357,8.541194
Z_AL_2,AL,6.7001805,8.960708,7.5189238,8.5412,7.5189238,8.5412,7.518919,8.541202,7.5189357,8.541194
Z_AL_3,AL,0.13299029,8.55821,0.1926369,9.196348,7.518919,8.541202,7.518919,8.541202,7.5189357,8.541194
Z_AM_0,AM,0.11249294,8.533396,0.18830638,8.48941,7.0101967,7.0100946,7.0101967,7.0100946,7.0101967,7.0100946
Z_AN_0,AN,6.7001805,8.960708,7.5189238,8.5412,7.518919,8.541202,7.518919,8.541202,7.518919,8.541202
Z_AN_1,AN,0.13298835,8.558209,0.19263403,9.196345,7.112534,7.112437,7.112534,7.112437,7.5189238,8.5412
Z_AN_2,AN,6.7001805,8.960708,7.5189238,8.5412,7.5189238,8.5412,7.5189238,8.5412,7.5189238,8.5412
Z_AN_3,AN,0.13298781,8.558209,0.19263397,9.19635,7.5189238,8.5412,7.518919,8.541202,7.518919,8.541202
Z_AO_0,AO,0.039316807,4.1938114,0.17470099,4.097329,0.1747036,4.097331,0.1747036,4.097331,0.1747036,4.097331
Z_AO_1,AO,0.012353553,3.278235,0.02365226,3.2945442,0.17470099,4.097329,0.17470099,4.097329,0.17470099,4.097329
Z_AO_2,AO,0.039316807,4.1938114,0.17470099,4.097329,0.17470099,4.097329,0.17470099,4.097329,0.17470099,4.097329
Z_AO_3,AO,0.012354397,3.2782369,0.023653686,3.2945468,0.1747036,4.097331,0.1747036,4.097331,0.1747036,4.097331
Z_AP_0,AP,13.830508,13.932372,15.234629,15.234528,15.234629,15.234528,15.234624,15.234523,15.234639,15.234538
Z_AQ_0,AQ,6.714617,6.7145247,7.112539,7.1124415,7.5189357,8.541194,7.5189357,8.541194,7.5189357,8.541194
Z_AR_0,AR,0.003524775,1.628533,0.02200207,1.6179351,0.02200207,1.6179351,0.022001902,1.6179338,0.022003232,1.6179363
Z_AS_0,AS,13.775822,13.775727,14.396319,14.396221,14.396319,14.396221,14.396319,14.396221,14.396319,14.396221
Z_AS_1,AS,6.8234644,13.245025,7.731067,12.923302,14.396322,14.396223,14.396322,14.396223,14.396322,14.396223
Z_AS_2,AS,13.775822,13.775727,14.396319,14.396221,14.396322,14.396223,14.396322,14.396223,14.396322,14.396223
Z_AS_3,AS,6.823457,13.24503,7.7310495,12.923308,14.396319,14.396221,14.396319,14.396221,14.396319,14.396221
Z_AT_0,AT,6.6458435,6.645751,7.010201,7.0100994,7.010201,7.0100994,7.0102034,7.010102,7.0101967,7.0100946
Z_AT_1,AT,0.073925845,5.1285186,0.18567683,4.9791613,7.0102034,7.010102,7.0102034,7.010102,7.0101967,7.0100946
Z_AT_2,AT,6.6458435,6.645751,7.010201,7.0100994,7.010201,7.0100994,7.0102034,7.010102,7.0101967,7.0100946
Z_AT_3,AT,0.07392808,5.1285186,0.18567972,4.9791636,0.18830918,8.489412,7.0101967,7.0100946,7.0101967,7.0100946
Z_AU_0,AU,0.012353671,3.278236,0.023652438,3.2945454,0.17470093,4.097324,0.02365226,3.2945442,0.17470099,4.097329
Z_AU_1,AU,0.039316565,4.1938095,0.17470093,4.097324,0.17470093,4.097324,0.17470093,4.097324,0.1747036,4.097331
Z_AU_2,AU,0.012353671,3.278236,0.023652438,3.2945454,0.023652438,3.2945454,0.17470093,4.097324,0.1747036,4.097331
Z_AU_3,AU,0.039317634,4.193812,0.1747036,4.097331,0.1747036,4.097331,0.17470099,4.097329,0.17470099,4.097329
Z_AV_0,AV,6.714617,6.7145247,7.112539,7.1124415,7.112539,7.1124415,7.5189357,8.541194,7.518919,8.541202
Z_AV_1,AV,6.714618,6.714526,7.1125417,7.1124444,7.5189238,8.5412,7.5189238,8.5412,7.5189238,8.5412
Z_AV_2,AV,6.714617,6.7145247,7.112539,7.1124415,7.5189357,8.541194,7.1125417,7.1124444,7.5189238,8.5412
Z_AV_3,AV,6.714614,6.7145224,7.112534,7.112437,7.518919,8.541202,7.518919,8.541202,7.518919,8.541202
Z_AW_0,AW,0.02471729,4.9262676,0.02471729,4.9262676,0.1814301,4.532578,0.18143012,4.5325813,6.5832305,6.5831375
