it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D
Z_AA_0,AA,46.30738,49.74628,50.828865,50.828278,50.828865,50.828594,50.828865,50.828594,50.828865,50.828594,50.828865,50.828594
Z_AA_1,AA,46.30738,49.74628,50.828865,50.828278,50.82878,50.82851,50.828815,50.82855,50.82876,50.828487,50.82876,50.82851
Z_AA_2,AA,46.307358,49.746292,50.828743,50.828156,50.828815,50.82855,50.828865,50.828594,50.82878,50.82851,50.82878,50.82855
Z_AA_3,AA,46.307358,49.746292,50.828743,50.828156,50.828743,50.828476,50.828743,50.828476,50.828743,50.828476,50.828743,50.828476
Z_AB_0,AB,34.735504,47.42339,39.46297,44.871548,39.46297,44.789238,39.46297,44.789238,49.322826,49.322594,49.322826,49.322582
Z_AB_1,AB,46.175106,46.174553,49.322845,49.322273,49.322773,49.32254,49.322803,49.32257,49.322758,49.32252,49.322758,49.32254
Z_AB_2,AB,34.73546,47.42341,39.46281,44.8716,49.322845,49.322613,49.322845,49.322613,49.322826,49.322594,49.322826,49.322556
Z_AB_3,AB,46.175087,46.174534,49.322758,49.322186,49.322758,49.32252,49.322758,49.32252,49.322758,49.32252,49.322758,49.32252
Z_AC_0,AC,23.165209,46.193336,26.7288,44.803135,39.14593,39.147026,26.7288,44.71303,48.06947,48.069206,48.06947,48.06922
Z_AC_1,AC,46.12567,46.12511,48.069492,48.068913,48.069435,48.069176,48.069458,48.0692,48.06946,48.0692,48.06946,48.069176
Z_AC_2,AC,23.16514,46.193367,26.728624,44.80319,39.14593,39.147026,48.069492,48.06923,48.069473,48.06921,48.069473,48.06922
Z_AC_3,AC,46.12566,46.1251,48.069435,48.068855,48.069435,48.069176,48.069435,48.069176,48.069435,48.069176,48.069435,48.069176
Z_AD_0,AD,11.620037,45.350807,13.15845,44.75157,37.842815,37.842564,13.15845,44.653126,46.97236,46.97209,46.97236,46.972084
Z_AD_1,AD,46.073074,46.07251,46.97236,46.971786,46.972343,46.972076,46.972336,46.972065,46.972355,46.972084,46.972355,46.972076
Z_AD_2,AD,11.619951,45.35085,13.158262,44.75162,38.819233,38.818954,46.97236,46.97209,46.97236,46.97209,46.97236,46.97209
Z_AD_3,AD,46.07307,46.072502,46.972336,46.97176,46.972336,46.972065,46.972336,46.972065,46.972336,46.972065,46.972336,46.972065
Z_AE_0,AE,1.3065141,44.70864,1.3065141,44.70864,37.53717,37.536892,13.1138,38.992466,45.982292,45.982014,45.982292,45.982014
Z_AE_1,AE,45.982292,45.981815,45.982292,45.981815,45.982292,45.982014,45.982292,45.982014,45.982292,45.982014,45.982292,45.982014
Z_AE_2,AE,1.3065338,44.708694,1.3065338,44.708694,37.537125,37.536846,45.982292,45.982014,45.982292,45.982014,45.982292,45.982014
Z_AE_3,AE,45.982292,45.981815,45.982292,45.981815,45.982292,45.982014,45.982292,45.982014,45.982292,45.982014,45.982292,45.982014
Z_AF_0,AF,34.603184,39.120964,39.14593,39.208687,39.14593,39.147026,39.14593,39.147026,48.069492,48.06923,48.069492,48.06922
Z_AF_1,AF,34.603184,39.120964,39.14593,39.208687,48.069458,48.0692,48.069492,48.06923,48.069447,48.069183,48.069447,48.069176
Z_AF_2,AF,34.603146,39.120964,39.14578,39.208687,39.14593,39.147026,48.06948,48.069218,48.069492,48.06923,48.069492,48.06922
Z_AF_3,AF,34.603146,39.120964,39.14578,39.208687,39.14578,39.147026,39.14579,39.147015,48.069447,48.069183,48.069447,48.069176
Z_AG_0,AG,22.981073,37.30407,26.471558,37.752563,37.53717,37.536892,26.471558,37.678345,38.507923,38.507645,38.507923,38.50769
Z_AG_1,AG,22.981073,37.30407,26.471558,37.752563,38.507965,38.507687,38.508026,38.507748,38.50788,38.507607,38.50788,38.507607
Z_AG_2,AG,22.981016,37.304085,26.471386,37.752583,26.471558,37.67833,45.982292,45.982014,38.508026,38.507748,38.508026,38.507748
Z_AG_3,AG,22.981016,37.304085,26.471386,37.752583,38.50788,38.507607,37.537083,37.536804,38.507893,38.507618,38.507893,38.507645
Z_AH_0,AH,11.3877735,36.320995,13.024986,36.56523,26.135143,29.70187,13.024986,36.494205,36.91867,36.918453,36.91867,36.918438
Z_AH_1,AH,11.3877735,36.320995,13.024986,36.56523,36.91872,36.9185,26.20798,35.57247,36.918655,36.918434,36.918655,36.918404
