it,base_code,SP,TCT,ST,DG,K
Z_AA_0,AA,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AA_1,AA,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AA_2,AA,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AA_3,AA,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AB_0,AB,6.947640000000001,8.240270824775909,8.240270824775909,8.240270824775909,14.562369915684998
Z_AB_1,AB,13.895280000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AB_2,AB,6.947640000000001,8.240270824775909,14.562369915684998,14.562369915684998,14.562369915684998
Z_AB_3,AB,13.895280000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AC_0,AC,0.0,0.07313255345957707,7.527579915685001,7.527579915685001,13.914469089238722
Z_AC_1,AC,13.895280000000001,13.914469089238722,13.914469089238722,13.914469089238722,13.914469089238722
Z_AC_2,AC,0.0,0.07313255345957707,7.527579915685001,13.914469089238722,13.914469089238722
Z_AC_3,AC,13.895280000000001,13.914469089238722,13.914469089238722,13.914469089238722,13.914469089238722
Z_AD_0,AD,6.947640000000001,7.527579915685001,7.527579915685001,7.527579915685001,13.914469089238722
Z_AD_1,AD,6.947640000000001,7.527579915685001,13.914469089238722,13.914469089238722,7.527579915685001
Z_AD_2,AD,6.947640000000001,7.527579915685001,7.527579915685001,13.914469089238722,13.914469089238722
Z_AD_3,AD,6.947640000000001,7.527579915685001,7.527579915685001,7.527579915685001,7.527579915685001
Z_AE_0,AE,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918
Z_AE_1,AE,0.0,0.0,0.0,0.0,6.290678337923918
Z_AE_2,AE,0.0,0.0,0.0,6.290678337923918,6.290678337923918
Z_AE_3,AE,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918
Z_AF_0,AF,0.0,0.0,0.0,5.755223109455917,5.755223109455917
Z_AF_1,AF,0.0,0.0,0.0,0.0,0.0
Z_AF_2,AF,0.0,0.0,0.0,0.0,5.755223109455917
Z_AF_3,AF,0.0,0.0,5.755223109455917,5.755223109455917,0.0
Z_AG_0,AG,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,8.240270824775909
Z_AG_1,AG,6.947640000000001,14.562369915684998,8.240270824775909,14.562369915684998,14.562369915684998
Z_AG_2,AG,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,8.240270824775909
Z_AG_3,AG,6.947640000000001,14.562369915684998,14.562369915684998,8.240270824775909,14.562369915684998
Z_AH_0,AH,0.0,13.914469089238722,7.527579915685001,7.527579915685001,0.07313255345957707
Z_AH_1,AH,0.0,13.914469089238722,7.527579915685001,7.527579915685001,13.914469089238722
Z_AI_0,AI,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AI_1,AI,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AI_2,AI,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AI_3,AI,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AJ_0,AJ,6.947640000000001,8.240270824775909,8.240270824775909,14.562369915684998,14.562369915684998
Z_AJ_1,AJ,13.895280000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AJ_2,AJ,6.947640000000001,8.240270824775909,14.562369915684998,8.240270824775909,14.562369915684998
Z_AJ_3,AJ,13.895280000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AK_0,AK,0.0,0.07313255345957707,7.527579915685001,7.527579915685001,13.914469089238722
Z_AK_1,AK,13.895280000000001,13.914469089238722,13.914469089238722,13.914469089238722,13.914469089238722
Z_AL_0,AL,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AL_1,AL,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718
Z_AL_2,AL,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AL_3,AL,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718
Z_AM_0,AM,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918
Z_AN_0,AN,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AN_1,AN,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718
Z_AN_2,AN,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AN_3,AN,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718
Z_AO_0,AO,0.0,0.0,0.0,0.0,0.0
Z_AO_1,AO,0.0,0.0,0.0,0.0,0.0
Z_AO_2,AO,0.0,0.0,0.0,0.0,0.0
Z_AO_3,AO,0.0,0.0,0.0,0.0,0.0
Z_AP_0,AP,13.895280000000001,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591
Z_AQ_0,AQ,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AR_0,AR,0.0,0.0,0.0,0.0,0.0
Z_AS_0,AS,13.895280000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AS_1,AS,6.947640000000001,8.240270824775909,14.562369915684998,14.562369915684998,14.562369915684998
Z_AS_2,AS,13.895280000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AS_3,AS,6.947640000000001,8.240270824775909,14.562369915684998,14.562369915684998,14.562369915684998
Z_AT_0,AT,6.947640000000001,6.290678337923918,6.290678337923918,6.290678337923918,6.290678337923918
Z_AT_1,AT,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918
Z_AT_2,AT,6.947640000000001,6.290678337923918,6.290678337923918,6.290678337923918,6.290678337923918
Z_AT_3,AT,0.0,0.0,0.0,6.290678337923918,6.290678337923918
Z_AU_0,AU,0.0,0.0,0.0,0.0,0.0
Z_AU_1,AU,0.0,0.0,0.0,0.0,0.0
Z_AU_2,AU,0.0,0.0,0.0,0.0,0.0
Z_AU_3,AU,0.0,0.0,0.0,0.0,0.0
Z_AV_0,AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AV_1,AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AV_2,AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AV_3,AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AW_0,AW,0.0,0.0,0.0,0.0,5.755223109455917
Z_AW_1,AW,6.947640000000001,5.755223109455917,5.755223109455917,5.755223109455917,5.755223109455917
Z_AX_0,AX,6.947640000000001,14.562369915684998,8.240270824775909,8.240270824775909,8.240270824775909
Z_AX_1,AX,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998
Z_AY_0,AY,0.0,6.879679089238718,0.0,0.0,6.879679089238718
Z_AY_1,AY,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_AZ_0,AZ,0.0,6.290678337923918,0.0,0.0,0.0
Z_AZ_1,AZ,0.0,0.0,0.0,0.0,6.290678337923918
Z_BA_0,BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BA_1,BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BA_2,BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BA_3,BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BB_0,BB,6.947640000000001,6.290678337923918,6.290678337923918,6.290678337923918,6.290678337923918
Z_BB_1,BB,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918
Z_BB_2,BB,6.947640000000001,6.290678337923918,6.290678337923918,6.290678337923918,6.290678337923918
Z_BB_3,BB,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918
Z_BC_0,BC,6.947640000000001,5.755223109455917,5.755223109455917,5.755223109455917,5.755223109455917
Z_BC_1,BC,0.0,0.0,0.0,5.755223109455917,5.755223109455917
Z_BC_2,BC,6.947640000000001,5.755223109455917,5.755223109455917,5.755223109455917,5.755223109455917
Z_BC_3,BC,0.0,0.0,0.0,0.0,5.755223109455917
Z_BD_0,BD,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BD_1,BD,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718
Z_BD_2,BD,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BD_3,BD,0.0,0.0,0.0,6.879679089238718,6.879679089238718
Z_BE_0,BE,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BE_1,BE,0.0,0.0,6.879679089238718,0.0,6.879679089238718
Z_BE_2,BE,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718
Z_BE_3,BE,0.0,0.0,0.0,6.879679089238718,6.879679089238718
