base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AA,27.744131,29.166056,30.553322,30.553146,30.553322,30.553146,30.553322,30.553146,30.553322,30.553146,30.553322,30.553322,-0.28586535392535395,-0.28586535392535395,-0.24926496782496782,-0.24926496782496782,-0.21355670527670526,-0.21355670527670526,-0.21356123552123552,-0.21356123552123552,-0.21355670527670526,-0.21355670527670526,-0.21356123552123552,-0.21356123552123552,-0.21355670527670526,-0.21355670527670526,-0.21356123552123552,-0.21356123552123552,-0.21355670527670526,-0.21355670527670526,-0.21356123552123552,-0.21356123552123552,-0.21355670527670526,-0.21355670527670526,-0.21355670527670526,-0.21355670527670526
AB,27.659025,27.757427,29.372108,29.371944,29.37209,29.371925,29.372108,29.371944,29.3721,29.371935,29.3721,29.3721,-0.2880559845559846,-0.5739213384813385,-0.2855231145431146,-0.5347880823680824,-0.24396118404118405,-0.4575178893178893,-0.24396540540540546,-0.45752664092664097,-0.24396164736164738,-0.4575183526383526,-0.24396589446589448,-0.45752712998712997,-0.24396118404118405,-0.4575178893178893,-0.24396540540540546,-0.45752664092664097,-0.24396138996139,-0.4575180952380953,-0.2439656370656371,-0.45752687258687263,-0.24396138996139,-0.4575180952380953,-0.24396138996139,-0.4575180952380953
AK,18.441908,27.757427,29.372108,29.371944,29.372108,29.371944,29.372108,29.371944,29.372097,29.371933,29.372097,29.372097,-0.5253048133848134,-1.099226151866152,-0.2855231145431146,-0.8203111969111969,-0.24396118404118405,-0.7014790733590733,-0.24396540540540546,-0.7014920463320464,-0.24396118404118405,-0.7014795366795367,-0.24396540540540546,-0.7014925353925354,-0.24396118404118405,-0.7014790733590733,-0.24396540540540546,-0.7014920463320464,-0.24396146718146722,-0.7014795624195624,-0.24396568854568862,-0.7014925611325613,-0.24396146718146722,-0.7014795624195624,-0.24396146718146722,-0.7014795624195624
AN,27.659018,27.757427,29.37209,29.371925,29.372108,29.371944,29.37209,29.371925,29.3721,29.371935,29.372108,29.372108,-0.28805616473616474,-1.3872823166023167,-0.2855231145431146,-1.1058343114543114,-0.24396164736164738,-0.9454407207207207,-0.24396589446589448,-0.9454579407979409,-0.24396118404118405,-0.9454407207207207,-0.24396540540540546,-0.9454579407979409,-0.24396164736164738,-0.9454407207207207,-0.24396589446589448,-0.9454579407979409,-0.24396138996139,-0.9454409523809524,-0.2439656370656371,-0.9454581981981984,-0.24396118404118405,-0.9454407464607465,-0.24396118404118405,-0.9454407464607465
AZ,27.65902,27.757427,29.372097,29.371933,29.372108,29.371944,29.372108,29.371944,29.3721,29.371935,29.372097,29.372097,-0.28805611325611324,-1.67533842985843,-0.2855231145431146,-1.391357425997426,-0.24396146718146722,-1.1894021879021879,-0.24396568854568862,-1.1894236293436296,-0.24396118404118405,-1.1894019047619047,-0.24396540540540546,-1.1894233462033463,-0.24396118404118405,-1.1894019047619047,-0.24396540540540546,-1.1894233462033463,-0.24396138996139,-1.1894023423423423,-0.2439656370656371,-1.1894238352638355,-0.24396146718146722,-1.1894022136422138,-0.24396146718146722,-1.1894022136422138
BK,18.441902,27.757421,29.372097,29.371933,29.372084,29.37192,29.372084,29.37192,29.372108,29.371944,29.3721,29.3721,-0.5253049678249678,-2.2006433976833977,-0.28552326898326896,-1.676880694980695,-0.24396146718146722,-1.433363655083655,-0.24396568854568862,-1.4333893178893182,-0.2439618018018018,-1.4333637065637064,-0.2439660231660232,-1.4333893693693696,-0.2439618018018018,-1.4333637065637064,-0.2439660231660232,-1.4333893693693696,-0.24396118404118405,-1.4333635263835265,-0.24396540540540546,-1.433389240669241,-0.24396138996139,-1.4333636036036037,-0.24396138996139,-1.4333636036036037
AC,27.610926,27.610565,28.387978,28.387804,28.387962,28.387789,28.387978,28.387804,28.38797,28.387796,28.387978,28.387978,-0.2892940540540541,-2.4899374517374517,-0.2893033462033462,-1.9661840411840412,-0.2692927155727156,-1.7026563706563707,-0.2692971943371944,-1.7026865122265127,-0.2692931274131274,-1.7026568339768338,-0.26929758043758045,-1.70268694980695,-0.2692927155727156,-1.702656422136422,-0.2692971943371944,-1.702686563706564,-0.26929292149292156,-1.702656447876448,-0.26929740025740023,-1.7026866409266412,-0.2692927155727156,-1.7026563191763193,-0.2692927155727156,-1.7026563191763193
AE,18.355633,21.376541,20.786629,21.694193,20.786629,21.694193,28.387978,28.387804,28.387978,28.387804,28.387978,28.387978,-0.527525534105534,-3.017462985842986,-0.4497672844272845,-2.4159513256113256,-0.46495163449163446,-2.167608005148005,-0.4415909137709138,-2.1442774259974264,-0.46495163449163446,-2.167608468468468,-0.4415909137709138,-2.1442778635778637,-0.2692927155727156,-1.9719491377091376,-0.2692971943371944,-1.9719837580437585,-0.2692927155727156,-1.9719491634491637,-0.2692971943371944,-1.9719838352638357,-0.2692927155727156,-1.971949034749035,-0.2692927155727156,-1.971949034749035
AL,9.149531,27.015467,28.387978,28.387804,28.387976,28.387802,28.387976,28.387802,28.387978,28.387804,28.38797,28.38797,-0.7644908365508366,-3.7819538223938225,-0.30462118404118405,-2.7205725096525097,-0.2692927155727156,-2.436900720720721,-0.2692971943371944,-2.4135746203346207,-0.2692927670527671,-2.436901235521235,-0.26929724581724584,-2.4135751093951097,-0.2692927670527671,-2.2412419047619045,-0.26929724581724584,-2.2412810038610043,-0.2692927155727156,-2.2412418790218793,-0.2692971943371944,-2.24128102960103,-0.26929292149292156,-2.2412419562419563,-0.26929292149292156,-2.2412419562419563
AD,27.523167,27.522856,27.523167,27.522997,27.523167,27.522997,27.523167,27.522997,27.523167,27.522997,27.523167,27.523167,-0.291552972972973,-4.073506795366796,-0.29156097812097814,-3.0121334877734878,-0.291552972972973,-2.728453693693694,-0.2915573487773488,-2.7051319691119695,-0.291552972972973,-2.7284542084942083,-0.2915573487773488,-2.7051324581724585,-0.291552972972973,-2.5327948777348777,-0.2915573487773488,-2.532838352638353,-0.291552972972973,-2.5327948519948524,-0.2915573487773488,-2.5328383783783788,-0.291552972972973,-2.5327949292149294,-0.291552972972973,-2.5327949292149294
AM,0.0,26.502777,27.523167,27.522997,20.573603,20.64449,20.573603,20.644493,27.523167,27.522997,20.573545,20.573545,-1.0,-5.073506795366796,-0.3178178378378379,-3.329951325611326,-0.291552972972973,-3.020006666666667,-0.2915573487773488,-2.9966893178893184,-0.4704349292149293,-3.1988891377091377,-0.468610296010296,-3.1737427541827543,-0.4704349292149293,-3.003229806949807,-0.4686102187902188,-3.001448571428572,-0.291552972972973,-2.8243478249678255,-0.2915573487773488,-2.8243957271557276,-0.47043642213642217,-3.0032313513513516,-0.47043642213642217,-3.0032313513513516
AO,18.27049,18.270142,19.864248,19.864075,20.573572,20.644497,20.573603,20.644493,27.523167,27.522997,27.523167,27.523167,-0.5297171171171172,-5.603223912483913,-0.5297260746460747,-3.8596774002574006,-0.4886937451737452,-3.5087004118404126,-0.4886981981981982,-3.4853875160875165,-0.47043572715572723,-3.669324864864865,-0.4686101158301158,-3.64235287001287,-0.4704349292149293,-3.4736647361647366,-0.4686102187902188,-3.4700587902187907,-0.291552972972973,-3.1159007979407987,-0.2915573487773488,-3.1159530759330765,-0.291552972972973,-3.2947843243243247,-0.291552972972973,-3.2947843243243247
AW,18.270481,18.27013,19.864225,19.86405,20.573553,20.64449,20.573545,20.644493,27.523167,27.522997,20.573545,20.573545,-0.5297173487773488,-6.132941261261262,-0.5297263835263835,-4.389403783783784,-0.4886943371943372,-3.9973947490347497,-0.48869884169884176,-3.974086357786358,-0.47043621621621623,-4.139761081081081,-0.468610296010296,-4.110963166023166,-0.47043642213642217,-3.9441011583011587,-0.4686102187902188,-3.9386690090090095,-0.291552972972973,-3.4074537709137718,-0.2915573487773488,-3.4075104247104253,-0.47043642213642217,-3.765220746460747,-0.47043642213642217,-3.765220746460747
AX,18.270485,18.270134,19.864235,19.86406,20.573603,20.644474,20.573603,20.644474,27.523167,27.522997,20.573545,20.573545,-0.5297172458172458,-6.662658507078508,-0.5297262805662806,-4.919130064350065,-0.4886940797940798,-4.486088828828829,-0.48869858429858437,-4.462784942084943,-0.4704349292149293,-4.6101960102960104,-0.4686107078507079,-4.579573873873874,-0.4704349292149293,-4.414536087516088,-0.4686107078507079,-4.407279716859717,-0.291552972972973,-3.699006743886745,-0.2915573487773488,-3.699067773487774,-0.47043642213642217,-4.235657168597169,-0.47043642213642217,-4.235657168597169
BA,18.27049,18.270142,19.864248,19.864075,20.573572,20.644497,20.573603,20.644497,27.523167,27.522997,27.523167,27.523167,-0.5297171171171172,-7.192375624195625,-0.5297260746460747,-5.448856138996139,-0.4886937451737452,-4.974782574002575,-0.4886981981981982,-4.951483140283141,-0.47043572715572723,-5.080631737451737,-0.4686101158301158,-5.04818398970399,-0.4704349292149293,-4.884971016731017,-0.4686101158301158,-4.8758898326898334,-0.291552972972973,-3.990559716859718,-0.2915573487773488,-3.990625122265123,-0.291552972972973,-4.527210141570142,-0.291552972972973,-4.527210141570142
