base_code,SP,TCT,ST,DG,K,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_K,cumulative_frac_diff_K
AA,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.33832,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472
AI,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.67664,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944
AP,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-1.01496,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416
AB,13.89528,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.33832,-1.35328,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513
AG,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.66916,-2.02244,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061
AJ,13.89528,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.33832,-2.36076,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708
AS,13.89528,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.33832,-2.69908,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805
AX,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.66916,-3.36824,-0.3065538135388096,-2.3506175212974902,-0.3065538135388096,-2.3506175212974902,-0.3065538135388096,-2.3506175212974902,-0.3065538135388096,-2.3506175212974902
AC,13.89528,13.914469089238722,13.914469089238722,13.914469089238722,13.914469089238722,-0.33832,-3.70656,-0.33740623384577517,-2.6880237551432655,-0.33740623384577517,-2.6880237551432655,-0.33740623384577517,-2.6880237551432655,-0.33740623384577517,-2.6880237551432655
AD,6.947640000000001,7.527579915685001,13.914469089238722,13.914469089238722,13.914469089238722,-0.66916,-4.37572,-0.6415438135388095,-3.329567568682075,-0.33740623384577517,-3.025429988989041,-0.33740623384577517,-3.025429988989041,-0.33740623384577517,-3.025429988989041
