base_code,SP,TCT,ST,DG,KV,KH,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KH,cumulative_frac_diff_KH
AA,27.790560000000003,30.17582315556771,30.17582315556771,30.17582315556771,30.17582315556771,30.17582315556771,-0.2489037837837837,-0.2489037837837837,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353
AB,27.790560000000003,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.2489037837837837,-0.4978075675675674,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686
AK,18.52704,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.4992691891891892,-0.9970767567567567,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537
AN,27.790560000000003,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.2489037837837837,-1.2459805405405404,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388
AZ,27.790560000000003,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.2489037837837837,-1.4948843243243242,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224
BK,18.52704,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.4992691891891892,-1.9941535135135133,-0.2089314134858851,-1.229094279441109,-0.2089314134858851,-1.229094279441109,-0.2089314134858851,-1.229094279441109,-0.2089314134858851,-1.229094279441109,-0.2089314134858851,-1.229094279441109
AC,27.790560000000003,28.445641833253656,28.445641833253656,28.445641833253656,28.445641833253656,28.445641833253656,-0.2489037837837837,-2.243057297297297,-0.23119886937152279,-1.4602931488126318,-0.23119886937152279,-1.4602931488126318,-0.23119886937152279,-1.4602931488126318,-0.23119886937152279,-1.4602931488126318,-0.23119886937152279,-1.4602931488126318
AE,18.52704,20.58267370102225,20.58267370102225,28.445641833253656,28.445641833253656,28.445641833253656,-0.4992691891891892,-2.742326486486486,-0.4437115215939932,-1.904004670406625,-0.4437115215939932,-1.904004670406625,-0.23119886937152279,-1.6914920181841546,-0.23119886937152279,-1.6914920181841546,-0.23119886937152279,-1.6914920181841546
AL,9.26352,28.445641833253656,28.445641833253656,28.445641833253656,28.445641833253656,28.445641833253656,-0.7496345945945946,-3.4919610810810804,-0.23119886937152279,-2.1352035397781477,-0.23119886937152279,-2.1352035397781477,-0.23119886937152279,-1.9226908875556774,-0.23119886937152279,-1.9226908875556774,-0.23119886937152279,-1.9226908875556774
AD,27.790560000000003,27.696645589827668,27.696645589827668,27.696645589827668,27.696645589827668,27.696645589827668,-0.2489037837837837,-3.740864864864864,-0.2514420110857387,-2.3866455508638866,-0.2514420110857387,-2.3866455508638866,-0.2514420110857387,-2.174132898641416,-0.2514420110857387,-2.174132898641416,-0.2514420110857387,-2.174132898641416
AM,0.0,27.696645589827668,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-1.0,-4.740864864864864,-0.2514420110857387,-2.638087561949625,-0.4659789774796309,-2.8526245283435174,-0.4659789774796309,-2.640111876121047,-0.2514420110857387,-2.425574909727155,-0.4659789774796309,-2.640111876121047
AO,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,27.696645589827668,-0.4992691891891892,-5.240134054054054,-0.4659789774796309,-3.104066539429256,-0.4659789774796309,-3.3186035058231482,-0.4659789774796309,-3.1060908536006777,-0.2514420110857387,-2.6770169208128936,-0.2514420110857387,-2.8915538872067854
AW,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-0.4992691891891892,-5.739403243243244,-0.4659789774796309,-3.5700455169088867,-0.4659789774796309,-3.784582483302779,-0.4659789774796309,-3.5720698310803085,-0.2514420110857387,-2.928458931898632,-0.4659789774796309,-3.357532864686416
AX,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-0.4992691891891892,-6.238672432432433,-0.4659789774796309,-4.036024494388518,-0.4659789774796309,-4.25056146078241,-0.4659789774796309,-4.03804880855994,-0.2514420110857387,-3.1799009429843705,-0.4659789774796309,-3.823511842166047
BA,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,27.696645589827668,-0.4992691891891892,-6.737941621621623,-0.4659789774796309,-4.502003471868149,-0.4659789774796309,-4.716540438262041,-0.4659789774796309,-4.504027786039571,-0.2514420110857387,-3.431342954070109,-0.2514420110857387,-4.0749538532517855
BL,18.52704,27.696645589827668,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-0.4992691891891892,-7.237210810810812,-0.2514420110857387,-4.753445482953888,-0.4659789774796309,-5.182519415741672,-0.4659789774796309,-4.970006763519202,-0.2514420110857387,-3.6827849651558475,-0.4659789774796309,-4.540932830731417
BR,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,27.696645589827668,-0.4992691891891892,-7.736480000000002,-0.4659789774796309,-5.219424460433519,-0.4659789774796309,-5.6484983932213035,-0.4659789774796309,-5.4359857409988335,-0.2514420110857387,-3.934226976241586,-0.2514420110857387,-4.792374841817155
AF,9.26352,9.673641044220853,19.00978158982766,19.00978158982766,19.00978158982766,19.00978158982766,-0.7496345945945946,-8.486114594594596,-0.7385502420480851,-5.957974702481604,-0.486222119193847,-6.134720512415151,-0.486222119193847,-5.922207860192681,-0.486222119193847,-4.420449095435433,-0.486222119193847,-5.278596961011003
AH,9.26352,8.924644800794855,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.7496345945945946,-9.23574918918919,-0.7587933837623012,-6.7167680862439045,-0.5046249752976798,-6.639345487712831,-0.5046249752976798,-6.4268328354903606,-0.5046249752976798,-4.925074070733113,-0.5046249752976798,-5.783221936308682
AP,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-9.73501837837838,-0.5046249752976798,-7.221393061541584,-0.5046249752976798,-7.14397046301051,-0.5046249752976798,-6.93145781078804,-0.5046249752976798,-5.429699046030793,-0.5046249752976798,-6.287846911606362
AR,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-10.234287567567568,-0.5046249752976798,-7.726018036839264,-0.5046249752976798,-7.64859543830819,-0.5046249752976798,-7.43608278608572,-0.5046249752976798,-5.9343240213284725,-0.5046249752976798,-6.792471886904042
BB,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-10.733556756756757,-0.5046249752976798,-8.230643012136944,-0.5046249752976798,-8.15322041360587,-0.5046249752976798,-7.9407077613834,-0.5046249752976798,-6.438948996626152,-0.5046249752976798,-7.297096862201721
BD,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-11.232825945945946,-0.5046249752976798,-8.735267987434625,-0.5046249752976798,-8.657845388903551,-0.5046249752976798,-8.44533273668108,-0.5046249752976798,-6.943573971923832,-0.5046249752976798,-7.801721837499401
BH,9.26352,8.924644800794855,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.7496345945945946,-11.98246054054054,-0.7587933837623012,-9.494061371196926,-0.5046249752976798,-9.162470364201232,-0.5046249752976798,-8.94995771197876,-0.5046249752976798,-7.4481989472215115,-0.5046249752976798,-8.30634681279708
BM,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-12.481729729729729,-0.5046249752976798,-9.998686346494607,-0.5046249752976798,-9.667095339498912,-0.5046249752976798,-9.45458268727644,-0.5046249752976798,-7.952823922519191,-0.5046249752976798,-8.810971788094761
BO,0.0,18.328875913985847,18.328875913985847,8.924644800794855,18.328875913985847,18.328875913985847,-1.0,-13.481729729729729,-0.5046249752976798,-10.503311321792287,-0.5046249752976798,-10.171720314796593,-0.7587933837623012,-10.213376071038741,-0.5046249752976798,-8.457448897816871,-0.5046249752976798,-9.315596763392442
BS,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-13.980998918918917,-0.5046249752976798,-11.007936297089968,-0.5046249752976798,-10.676345290094273,-0.5046249752976798,-10.718001046336422,-0.5046249752976798,-8.962073873114552,-0.5046249752976798,-9.820221738690122
BY,18.52704,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.4992691891891892,-14.480268108108106,-0.5046249752976798,-11.512561272387648,-0.5046249752976798,-11.180970265391954,-0.5046249752976798,-11.222626021634103,-0.5046249752976798,-9.466698848412232,-0.5046249752976798,-10.324846713987803
CA,9.26352,8.924644800794855,18.328875913985847,18.328875913985847,18.328875913985847,18.328875913985847,-0.7496345945945946,-15.2299027027027,-0.7587933837623012,-12.27135465614995,-0.5046249752976798,-11.685595240689635,-0.5046249752976798,-11.727250996931783,-0.5046249752976798,-9.971323823709913,-0.5046249752976798,-10.829471689285484
AG,0.0,0.0,8.243739124953045,17.709870754129653,8.243739124953045,17.709870754129653,-1.0,-16.229902702702702,-1.0,-13.27135465614995,-0.777196239866134,-12.462791480555769,-0.5213548444829823,-12.248605841414765,-0.777196239866134,-10.748520063576047,-0.5213548444829823,-11.350826533768466
CB,9.26352,8.243739124953045,17.709870754129653,17.709870754129653,17.709870754129653,17.709870754129653,-0.7496345945945946,-16.9795372972973,-0.777196239866134,-14.048550896016083,-0.5213548444829823,-12.98414632503875,-0.5213548444829823,-12.769960685897747,-0.5213548444829823,-11.269874908059029,-0.5213548444829823,-11.872181378251447
AI,0.0,0.0,7.624733965096847,17.147138790624023,7.624733965096847,7.624733965096847,-1.0,-17.9795372972973,-1.0,-15.048550896016083,-0.7939261090514366,-13.778072434090188,-0.536563816469621,-13.306524502367369,-0.7939261090514366,-12.063801017110466,-0.7939261090514366,-12.666107487302884
AQ,18.52704,17.147138790624023,17.147138790624023,17.147138790624023,17.147138790624023,17.147138790624023,-0.4992691891891892,-18.478806486486487,-0.536563816469621,-15.585114712485705,-0.536563816469621,-14.31463625055981,-0.536563816469621,-13.84308831883699,-0.536563816469621,-12.600364833580088,-0.536563816469621,-13.202671303772506
BC,18.52704,17.147138790624023,17.147138790624023,17.147138790624023,17.147138790624023,17.147138790624023,-0.4992691891891892,-18.978075675675676,-0.536563816469621,-16.121678528955325,-0.536563816469621,-14.851200067029431,-0.536563816469621,-14.379652135306612,-0.536563816469621,-13.13692865004971,-0.536563816469621,-13.739235120242128
BG,9.26352,7.624733965096847,7.624733965096847,7.624733965096847,17.147138790624023,7.624733965096847,-0.7496345945945946,-19.727710270270272,-0.7939261090514366,-16.915604638006762,-0.7939261090514366,-15.645126176080868,-0.7939261090514366,-15.17357824435805,-0.536563816469621,-13.673492466519331,-0.7939261090514366,-14.533161229293565
BQ,0.0,17.147138790624023,0.0,7.624733965096847,17.147138790624023,17.147138790624023,-1.0,-20.727710270270272,-0.536563816469621,-17.452168454476382,-1.0,-16.64512617608087,-0.7939261090514366,-15.967504353409486,-0.536563816469621,-14.210056282988953,-0.536563816469621,-15.069725045763187
BT,18.52704,17.147138790624023,17.147138790624023,17.147138790624023,17.147138790624023,17.147138790624023,-0.4992691891891892,-21.22697945945946,-0.536563816469621,-17.988732270946002,-0.536563816469621,-17.18168999255049,-0.536563816469621,-16.50406816987911,-0.536563816469621,-14.746620099458575,-0.536563816469621,-15.606288862232809
BV,9.26352,7.624733965096847,7.624733965096847,17.147138790624023,7.624733965096847,7.624733965096847,-0.7496345945945946,-21.976614054054057,-0.7939261090514366,-18.78265837999744,-0.7939261090514366,-17.975616101601926,-0.536563816469621,-17.04063198634873,-0.7939261090514366,-15.540546208510012,-0.7939261090514366,-16.400214971284246
BU,9.26352,7.06200200159122,7.06200200159122,7.06200200159122,7.06200200159122,7.06200200159122,-0.7496345945945946,-22.726248648648653,-0.8091350810380751,-19.591793461035515,-0.8091350810380751,-18.78475118264,-0.8091350810380751,-17.849767067386804,-0.8091350810380751,-16.349681289548087,-0.8091350810380751,-17.20935005232232
AJ,0.0,0.0,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-1.0,-23.726248648648653,-1.0,-20.591793461035515,-0.8229614192077468,-19.607712601847748,-0.8229614192077468,-18.67272848659455,-0.8229614192077468,-17.172642708755834,-0.8229614192077468,-18.03231147153007
AS,9.26352,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-0.7496345945945946,-24.47588324324325,-0.8229614192077468,-21.41475488024326,-0.8229614192077468,-20.430674021055495,-0.8229614192077468,-19.495689905802298,-0.8229614192077468,-17.99560412796358,-0.8229614192077468,-18.855272890737815
AU,9.26352,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-0.7496345945945946,-25.225517837837845,-0.8229614192077468,-22.23771629945101,-0.8229614192077468,-21.253635440263242,-0.8229614192077468,-20.318651325010045,-0.8229614192077468,-18.81856554717133,-0.8229614192077468,-19.678234309945562
BE,9.26352,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-0.7496345945945946,-25.97515243243244,-0.8229614192077468,-23.060677718658756,-0.8229614192077468,-22.07659685947099,-0.8229614192077468,-21.14161274421779,-0.8229614192077468,-19.641526966379075,-0.8229614192077468,-20.50119572915331
BF,9.26352,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-0.7496345945945946,-26.724787027027038,-0.8229614192077468,-23.883639137866503,-0.8229614192077468,-22.899558278678736,-0.8229614192077468,-21.96457416342554,-0.8229614192077468,-20.464488385586822,-0.8229614192077468,-21.324157148361056
BJ,0.0,0.0,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-1.0,-27.724787027027038,-1.0,-24.883639137866503,-0.8229614192077468,-23.722519697886483,-0.8229614192077468,-22.787535582633286,-0.8229614192077468,-21.28744980479457,-0.8229614192077468,-22.147118567568803
BN,0.0,6.5504274893133685,0.0,0.0,6.5504274893133685,6.5504274893133685,-1.0,-28.724787027027038,-0.8229614192077468,-25.70660055707425,-1.0,-24.722519697886483,-1.0,-23.787535582633286,-0.8229614192077468,-22.110411224002316,-0.8229614192077468,-22.97007998677655
BP,0.0,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,0.0,-1.0,-29.724787027027038,-0.8229614192077468,-26.529561976281997,-0.8229614192077468,-25.54548111709423,-0.8229614192077468,-24.610497001841033,-0.8229614192077468,-22.933372643210063,-1.0,-23.97007998677655
BW,9.26352,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-0.7496345945945946,-30.474421621621634,-0.8229614192077468,-27.352523395489744,-0.8229614192077468,-26.368442536301977,-0.8229614192077468,-25.43345842104878,-0.8229614192077468,-23.75633406241781,-0.8229614192077468,-24.793041405984297
BZ,9.26352,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,6.5504274893133685,-0.7496345945945946,-31.22405621621623,-0.8229614192077468,-28.17548481469749,-0.8229614192077468,-27.191403955509724,-0.8229614192077468,-26.256419840256527,-0.8229614192077468,-24.579295481625557,-0.8229614192077468,-25.616002825192044
CC,0.0,6.5504274893133685,0.0,6.5504274893133685,6.5504274893133685,6.5504274893133685,-1.0,-32.224056216216226,-0.8229614192077468,-28.998446233905238,-1.0,-28.191403955509724,-0.8229614192077468,-27.079381259464274,-0.8229614192077468,-25.402256900833304,-0.8229614192077468,-26.43896424439979
AT,0.0,0.0,0.0,0.0,5.662570897756779,0.0,-1.0,-33.224056216216226,-1.0,-29.998446233905238,-1.0,-29.191403955509724,-1.0,-28.079381259464274,-0.8469575433038709,-26.249214444137174,-1.0,-27.43896424439979
AY,0.0,0.0,0.0,0.0,5.662570897756779,0.0,-1.0,-34.224056216216226,-1.0,-30.998446233905238,-1.0,-30.191403955509724,-1.0,-29.079381259464274,-0.8469575433038709,-27.096171987441043,-1.0,-28.43896424439979
BI,0.0,0.0,0.0,0.0,5.662570897756779,5.662570897756779,-1.0,-35.224056216216226,-1.0,-31.998446233905238,-1.0,-31.191403955509724,-1.0,-30.079381259464274,-0.8469575433038709,-27.943129530744912,-0.8469575433038709,-29.28592178770366
BX,0.0,0.0,0.0,0.0,5.662570897756779,5.662570897756779,-1.0,-36.224056216216226,-1.0,-32.99844623390524,-1.0,-32.19140395550973,-1.0,-31.079381259464274,-0.8469575433038709,-28.79008707404878,-0.8469575433038709,-30.13287933100753
AV,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-37.224056216216226,-1.0,-33.99844623390524,-1.0,-33.19140395550973,-1.0,-32.07938125946427,-1.0,-29.79008707404878,-1.0,-31.13287933100753
