base_code,SP,SP_D,TCT,TCT_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D
AA,15.7395277928467,16.4626556573479,16.5376891439257,16.4949836646466,-0.3156727046588392,-0.3156727046588392,-0.28423236272400443,-0.28423236272400443,-0.28097003722062175,-0.28097003722062175,-0.2828267971892782,-0.2828267971892782
AI,15.7438305879141,16.3648739542801,16.5338249798917,16.5015229124557,-0.3154856266124304,-0.6311583312712696,-0.28848374111825653,-0.572716103842261,-0.28113804435253475,-0.5621080815731565,-0.2825424820671434,-0.5653692792564216
AP,14.9404280858042,15.5688911567991,16.2784431669632,16.257477822144,-0.3504161701824261,-0.9815745014536957,-0.3230916888348217,-0.8958077926770827,-0.2922416014363826,-0.8543496830095392,-0.29315313816765215,-0.8585224174240738
AB,15.294932871696,15.4487321262167,15.555416698776,15.5040381383853,-0.33500291862191306,-1.3165774200756089,-0.32831599451231736,-1.2241237871894,-0.3236775348358261,-1.1780272178453652,-0.32591138528759567,-1.1844338027116694
AG,8.29907390489512,14.8217333453583,15.4099476261017,15.390018503371,-0.6391706997871687,-1.9557481198627775,-0.35557681107137823,-1.5797005982607781,-0.3300022771260131,-1.5080294949713784,-0.33086876072300003,-1.5153025634346695
AJ,14.8175793034088,15.3814374279997,15.3544963862652,15.3563182719677,-0.3557574215909217,-2.311505541453699,-0.3312418509565348,-1.910942449217313,-0.3324132005971652,-1.8404426955685436,-0.3323339881753174,-1.8476365516099869
AS,15.2483144152568,15.3240075524546,15.5523679801701,15.521878927685,-0.337029808032313,-2.648535349486012,-0.3337388020671913,-2.2446812512845042,-0.3238100878186913,-2.164252783387235,-0.32513569879630433,-2.1727722504062914
AX,7.4855379680457,15.2891760882648,15.4797567779187,15.4609427241813,-0.6745418274762739,-3.3230771769622858,-0.33525321355370435,-2.5799344648382085,-0.32696709661223045,-2.4912198799994654,-0.32778509894863916,-2.5005573493549305
AC,14.7575851853352,14.7620254807182,14.7686342721741,14.7346245591214,-0.3583658615071652,-3.681443038469451,-0.3581728051861652,-2.9381072700243736,-0.35788546642721303,-2.8491053464266782,-0.3593641496034174,-2.859921498958348
AD,7.75358917760517,10.310873804141,8.29223720754204,10.0962149364474,-0.6628874270606447,-4.344330465530096,-0.5517011389503913,-3.4898084089747647,-0.6394679474981722,-3.4885732939248504,-0.5610341331979392,-3.420955632156287
