base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AA,27.7441255,29.166052999999998,30.553296000000003,30.553121500000003,30.5533095,30.553134,30.5533095,30.553134,30.5532875,30.553113,30.553274000000002,30.553274000000002,-0.28586549549549556,-0.28586549549549556,-0.24926504504504512,-0.24926504504504512,-0.21355737451737447,-0.21355737451737447,-0.2135618661518661,-0.2135618661518661,-0.21355702702702703,-0.21355702702702703,-0.21356154440154443,-0.21356154440154443,-0.21355702702702703,-0.21355702702702703,-0.21356154440154443,-0.21356154440154443,-0.21355759330759336,-0.21355759330759336,-0.21356208494208498,-0.21356208494208498,-0.21355794079794077,-0.21355794079794077,-0.21355794079794077,-0.21355794079794077
AB,23.050463999999998,27.708040500000003,25.186523,27.953128999999997,25.186523,27.953117499999998,29.372083,29.3719185,29.37208,29.371916,29.3720985,29.3720985,-0.40668046332046337,-0.6925459588159589,-0.2867943243243243,-0.5360593693693694,-0.3516982496782497,-0.5652556241956241,-0.2804857400257401,-0.49404760617760624,-0.3516982496782497,-0.5652552767052768,-0.2804860360360361,-0.49404758043758057,-0.24396182754182758,-0.4575188545688546,-0.2439660617760618,-0.45752760617760624,-0.24396190476190477,-0.4575194980694981,-0.2439661261261262,-0.4575282110682112,-0.2439614285714286,-0.4575193693693694,-0.2439614285714286,-0.4575193693693694
AK,18.441900500000003,27.7574225,29.372092000000002,29.371927999999997,29.3720935,29.371929,29.3720935,29.371929,29.3720935,29.371929,29.3720865,29.3720865,-0.5253050064350064,-1.2178509652509653,-0.2855232303732304,-0.8215825997425998,-0.24396159588159586,-0.80921722007722,-0.24396581724581734,-0.7380134234234236,-0.24396155727155736,-0.8092168339768341,-0.2439657915057915,-0.7380133719433721,-0.24396155727155736,-0.701480411840412,-0.2439657915057915,-0.7014933976833977,-0.24396155727155736,-0.7014810553410554,-0.2439657915057915,-0.7014940025740026,-0.24396173745173744,-0.7014811068211069,-0.24396173745173744,-0.7014811068211069
AN,23.050466,27.708037,25.186529999999998,27.953135500000002,29.3720935,29.371929,29.372083,29.3719185,29.3720935,29.371929,29.372099,29.372099,-0.40668041184041187,-1.6245313770913772,-0.2867944144144144,-1.1083770141570142,-0.3516980694980696,-1.1609152895752897,-0.2804855727155727,-1.0184989961389963,-0.24396155727155736,-1.0531783912483914,-0.2439657915057915,-0.9819791634491637,-0.24396182754182758,-0.9454422393822396,-0.2439660617760618,-0.9454594594594595,-0.24396155727155736,-0.9454426126126128,-0.2439657915057915,-0.9454597940797942,-0.24396141570141577,-0.9454425225225227,-0.24396141570141577,-0.9454425225225227
AZ,23.050467,27.708037,25.1865335,27.9531395,29.3721025,29.3719385,29.3721025,29.3719385,29.3720935,29.371929,29.3720865,29.3720865,-0.4066803861003861,-2.0312117631917634,-0.2867944144144144,-1.3951714285714285,-0.3516979794079794,-1.512613268983269,-0.2804854697554698,-1.298984465894466,-0.24396132561132564,-1.297139716859717,-0.24396554697554704,-1.2259447104247108,-0.24396132561132564,-1.1894035649935653,-0.24396554697554704,-1.1894250064350065,-0.24396155727155736,-1.1894041698841702,-0.2439657915057915,-1.1894255855855858,-0.24396173745173744,-1.18940425997426,-0.24396173745173744,-1.18940425997426
BK,18.441902,27.757421,29.372097,29.371933,25.186526999999998,27.9531215,25.186526999999998,27.9531215,29.372092000000002,29.371927999999997,25.186504,25.186504,-0.5253049678249678,-2.5565167310167314,-0.28552326898326896,-1.6806946975546975,-0.24396146718146722,-1.7565747361647361,-0.24396568854568862,-1.5429501544401547,-0.3516981467181468,-1.6488378635778638,-0.28048593307593306,-1.5064306435006438,-0.3516981467181468,-1.541101711711712,-0.28048593307593306,-1.4699109395109395,-0.24396159588159586,-1.4333657657657661,-0.24396581724581734,-1.4333914028314032,-0.3516987387387388,-1.541102998712999,-0.3516987387387388,-1.541102998712999
AC,18.380236500000002,27.313015,19.428577500000003,27.429531,24.587295500000003,25.040990999999998,28.387962,28.387789,24.587295500000003,25.040988,28.387977,28.387977,-0.5268922393822394,-3.083408970398971,-0.29696229086229087,-1.9776569884169883,-0.499907915057915,-2.256482651222651,-0.293963166023166,-1.8369133204633208,-0.36712238095238087,-2.0159602445302447,-0.35544424710424716,-1.861874890604891,-0.2692931274131274,-1.8103948391248395,-0.26929758043758045,-1.7392085199485199,-0.36712238095238087,-1.800488146718147,-0.3554443243243244,-1.7888357271557276,-0.26929274131274133,-1.8103957400257402,-0.26929274131274133,-1.8103957400257402
AE,18.3556235,21.376539,20.7865995,21.6941845,20.7866135,21.6941835,24.5873025,25.0409985,28.387973,28.387799,28.387977,28.387977,-0.5275257786357787,-3.6109347490347496,-0.4497673359073359,-2.427424324324324,-0.4649523938223938,-2.7214350450450446,-0.44159113256113264,-2.2785044530244534,-0.46495203346203345,-2.480912277992278,-0.4415911583011583,-2.3034660489060492,-0.3671222007722008,-2.1775170398970403,-0.35544405405405405,-2.094652574002574,-0.26929284427284433,-2.069780990990991,-0.269297323037323,-2.0581330501930504,-0.26929274131274133,-2.0796884813384815,-0.26929274131274133,-2.0796884813384815
AL,9.149526,27.015465,28.387970000000003,28.3877965,24.587277999999998,25.041004,28.387969,28.387795500000003,28.387973,28.387799,24.58727,24.58727,-0.7644909652509653,-4.375425714285715,-0.3046212355212356,-2.7320455598455595,-0.26929292149292144,-2.9907279665379662,-0.2692973873873874,-2.5478018404118408,-0.3671228314028315,-2.8480351093951097,-0.3554439124839125,-2.658909961389962,-0.26929294723294733,-2.4468099871299875,-0.26929741312741307,-2.363949987129987,-0.26929284427284433,-2.3390738352638354,-0.269297323037323,-2.3274303732303734,-0.36712303732303736,-2.446811518661519,-0.36712303732303736,-2.446811518661519
AD,13.7615835,27.0128205,13.7615835,26.972309,23.693707500000002,23.693536,27.523167,27.522997,23.693703,23.693530000000003,27.523167,27.523167,-0.6457764864864864,-5.021202200772201,-0.304689305019305,-3.0367348648648647,-0.6457764864864864,-3.6365044530244526,-0.3057320720720721,-2.853533912483913,-0.39012335907335904,-3.2381584684684688,-0.39012777348777344,-3.0490377348777353,-0.291552972972973,-2.7383629601029607,-0.2915573487773488,-2.655507335907336,-0.39012347490347493,-2.72919731016731,-0.3901279279279279,-2.7175583011583013,-0.291552972972973,-2.738364491634492,-0.291552972972973,-2.738364491634492
