base_code,SP,TCT,ST,DG,K,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_K,cumulative_frac_diff_K
AA,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.33832,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472
AI,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.67664,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944
AP,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-1.01496,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416
AB,10.42146,11.401320370230454,14.562369915684998,14.562369915684998,14.562369915684998,-0.50374,-1.5187,-0.4570799823699784,-1.27492843597342,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513
AG,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,11.401320370230454,-0.66916,-2.1878599999999997,-0.3065538135388096,-1.5814822495122298,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061,-0.4570799823699784,-1.5814822495122298
AJ,10.42146,11.401320370230454,14.562369915684998,14.562369915684998,14.562369915684998,-0.50374,-2.6915999999999998,-0.4570799823699784,-2.0385622318822083,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.8880360630510395
AS,10.42146,11.401320370230454,14.562369915684998,14.562369915684998,14.562369915684998,-0.50374,-3.19534,-0.4570799823699784,-2.495642214252187,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.1945898765898493
AX,6.947640000000001,14.562369915684998,11.401320370230454,11.401320370230454,11.401320370230454,-0.66916,-3.8644999999999996,-0.3065538135388096,-2.8021960277909965,-0.4570799823699784,-2.501143690128659,-0.4570799823699784,-2.501143690128659,-0.4570799823699784,-2.6516698589598278
AC,6.94764,6.957234544619361,10.721024502461862,13.914469089238722,13.914469089238722,-0.66916,-4.533659999999999,-0.6687031169228875,-3.470899144713884,-0.4894750236922923,-2.9906187138209512,-0.33740623384577517,-2.8385499239744343,-0.33740623384577517,-2.989076092805603
AD,6.947640000000001,7.527579915685001,7.527579915685001,10.721024502461862,10.721024502461862,-0.66916,-5.202819999999999,-0.6415438135388095,-4.112442958252694,-0.6415438135388095,-3.632162527359761,-0.4894750236922923,-3.3280249476667265,-0.4894750236922923,-3.4785511164978953
