base_code,SP,TCT,ST,DG,KV,KH,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KH,cumulative_frac_diff_KH
AA,27.790560000000003,30.17582315556771,30.17582315556771,30.17582315556771,30.17582315556771,30.17582315556771,-0.2489037837837837,-0.2489037837837837,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353
AB,23.1588,25.37924842829498,25.37924842829498,29.26953770102225,29.26953770102225,29.26953770102225,-0.3740864864864865,-0.6229902702702702,-0.3140743668028384,-0.4985115788145219,-0.3140743668028384,-0.4985115788145219,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686
AK,18.52704,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.4992691891891892,-1.1222594594594595,-0.2089314134858851,-0.707442992300407,-0.2089314134858851,-0.707442992300407,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537
AN,23.1588,25.37924842829498,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.3740864864864865,-1.496345945945946,-0.3140743668028384,-1.0215173591032454,-0.2089314134858851,-0.916374405786292,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388
AZ,23.1588,25.37924842829498,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.3740864864864865,-1.8704324324324326,-0.3140743668028384,-1.3355917259060837,-0.2089314134858851,-1.1253058192721772,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224
BK,18.52704,29.26953770102225,25.37924842829498,25.37924842829498,29.26953770102225,25.37924842829498,-0.4992691891891892,-2.369701621621622,-0.2089314134858851,-1.5445231393919687,-0.3140743668028384,-1.4393801860750157,-0.3140743668028384,-1.3342372327580625,-0.2089314134858851,-1.229094279441109,-0.3140743668028384,-1.3342372327580625
AC,18.52704,19.92473209989428,24.514157767137952,28.445641833253656,24.514157767137952,28.445641833253656,-0.4992691891891892,-2.868970810810811,-0.4614937270298844,-2.006016866421853,-0.33745519548275804,-1.7768353815577738,-0.23119886937152279,-1.5654361021295853,-0.33745519548275804,-1.566549474923867,-0.23119886937152279,-1.5654361021295853
AE,18.52704,20.58267370102225,20.58267370102225,24.514157767137952,28.445641833253656,28.445641833253656,-0.4992691891891892,-3.36824,-0.4437115215939932,-2.4497283880158465,-0.4437115215939932,-2.220546903151767,-0.33745519548275804,-1.9028912976123433,-0.23119886937152279,-1.7977483442953899,-0.23119886937152279,-1.796634971501108
AL,9.26352,28.445641833253656,24.514157767137952,28.445641833253656,28.445641833253656,24.514157767137952,-0.7496345945945946,-4.1178745945945945,-0.23119886937152279,-2.6809272573873693,-0.33745519548275804,-2.5580020986345247,-0.23119886937152279,-2.1340901669838663,-0.23119886937152279,-2.0289472136669127,-0.33745519548275804,-2.1340901669838663
AD,13.895280000000001,13.848322794913834,23.727711711540664,27.696645589827668,23.727711711540664,27.696645589827668,-0.6244518918918919,-4.742326486486486,-0.6257210055428694,-3.3066482629302385,-0.35871049428268476,-2.9167125929172095,-0.2514420110857387,-2.385532178069605,-0.35871049428268476,-2.3876577079495975,-0.2514420110857387,-2.385532178069605
