base_code,SP,SP_D,TCT,TCT_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D
AA,15.669882619055599,16.450824130326048,16.47837731962165,16.415799301515698,-0.3187007556932348,-0.3187007556932348,-0.28474677694234574,-0.28474677694234574,-0.28354881219036304,-0.28354881219036304,-0.286269595586274,-0.286269595586274
AI,15.29205588846935,16.0704224893631,16.36015791327665,16.34913477246935,-0.3351280048491587,-0.6538287605423936,-0.30128597872334345,-0.5860327556656892,-0.28868878637927603,-0.5722375985696391,-0.2891680533708979,-0.575437648957172
AP,14.9404280858042,15.5688911567991,16.2784431669632,16.257477822144,-0.3504161701824261,-1.0042449307248198,-0.3230916888348217,-0.9091244445005109,-0.2922416014363826,-0.8644792000060217,-0.29315313816765215,-0.8685907871248242
AB,11.758968222663306,14.655977761760699,11.914882215317885,14.729590175859851,-0.48874051205811714,-1.492985442782937,-0.3627835755756218,-1.2719080200761326,-0.4819616428122659,-1.3464408428182877,-0.3595830358321804,-1.2281738229570045
AG,8.28902170354064,14.41777856892325,15.389857967881,15.36724300293125,-0.6396077520199721,-2.132593194802909,-0.37314006222072826,-1.645048082296861,-0.33087574052691304,-1.6773165833452008,-0.33185899987255435,-1.5600328228295588
AJ,11.586987199146414,14.442231628593099,11.855796070188886,14.6810264967026,-0.4962179478631994,-2.628811142666108,-0.3720768857133435,-2.0171249680102044,-0.4845306056439615,-2.1618471889891624,-0.36169450014336524,-1.9217273229729241
AS,11.35319624884409,14.68372386739155,11.95081069187634,14.70795844495955,-0.5063827717893874,-3.1351939144554954,-0.36157722315688917,-2.3787021911670934,-0.4803995351358113,-2.642246724124974,-0.3605235458713239,-2.282250868844248
AX,7.362564885161371,15.254114749755448,15.47364343695145,15.45501938211395,-0.6798884832538534,-3.815082397709349,-0.33677761957585006,-2.715479810742943,-0.32723289404558914,-2.969479618170563,-0.3280426355602631,-2.610293504404511
AC,7.3518675169575,14.3705767995985,7.36266696104355,14.3327381724399,-0.680353586219239,-4.495435983928588,-0.3751923130609348,-3.090672123803878,-0.6798840451720196,-3.6493636633425828,-0.3768374707634826,-2.9871309751679935
AD,7.7167693255087055,10.049346361394583,8.24119470580567,10.00984317254014,-0.6644882901952737,-5.159924274123862,-0.5630718973306703,-3.653744021134548,-0.6416871867041013,-4.291050850046684,-0.5647894272808635,-3.551920402448857
AH,0.0,10.06859361080955,14.659215675502349,14.63280916880215,-1.0,-6.159924274123862,-0.5622350603995848,-4.215979081534133,-0.36264279671728916,-4.653693646763973,-0.3637909057042543,-3.915711308153111
AK,7.31329903228375,14.3390343550058,7.29700592451125,14.298782254594201,-0.6820304768572283,-6.84195475098109,-0.3765637236954,-4.592542805229533,-0.6827388728473369,-5.33643251961131,-0.37831381501764344,-4.294025123170754
