base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_K,cumulative_frac_diff_K,frac_diff_K_D,cumulative_frac_diff_K_D
AA,13.830507,13.93237,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523,-0.34140442857142855,-0.34140442857142855,-0.3365538095238095,-0.3365538095238095,-0.2745417142857143,-0.2745417142857143,-0.2745465238095238,-0.2745465238095238,-0.2745417142857143,-0.2745417142857143,-0.2745465238095238,-0.2745465238095238,-0.2745417142857143,-0.2745417142857143,-0.2745465238095238,-0.2745465238095238,-0.2745417142857143,-0.2745417142857143,-0.2745465238095238,-0.2745465238095238
AI,13.830507,13.93237,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523,15.234624,15.234523,-0.34140442857142855,-0.6828088571428571,-0.3365538095238095,-0.673107619047619,-0.2745417142857143,-0.5490834285714286,-0.2745465238095238,-0.5490930476190476,-0.2745417142857143,-0.5490834285714286,-0.2745465238095238,-0.5490930476190476,-0.2745417142857143,-0.5490834285714286,-0.2745465238095238,-0.5490930476190476,-0.2745417142857143,-0.5490834285714286,-0.2745465238095238,-0.5490930476190476
AP,13.830508,13.932372,15.234629,15.234528,15.234629,15.234528,15.234624,15.234523,15.234639,15.234538,-0.34140438095238096,-1.024213238095238,-0.33655371428571423,-1.0096613333333333,-0.2745414761904762,-0.8236249047619048,-0.27454628571428574,-0.8236393333333334,-0.2745414761904762,-0.8236249047619048,-0.27454628571428574,-0.8236393333333334,-0.2745417142857143,-0.8236251428571428,-0.2745465238095238,-0.8236395714285715,-0.27454100000000004,-0.8236244285714286,-0.27454580952380947,-0.8236388571428571
AB,6.823457,13.245025,7.7310495,12.923302,7.731067,12.923302,7.731067,12.923302,14.396315,14.396217,-0.6750734761904761,-1.699286714285714,-0.3692845238095238,-1.378945857142857,-0.6318547857142857,-1.4554796904761904,-0.3846046666666667,-1.208244,-0.6318539523809524,-1.4554788571428572,-0.3846046666666667,-1.208244,-0.6318539523809524,-1.4554790952380952,-0.3846046666666667,-1.2082442380952383,-0.3144611904761905,-1.1380856190476192,-0.31446585714285713,-1.1381047142857144
AG,6.8234577,13.245027,14.396315,14.396217,7.7310553,12.923307,7.7310495,12.923308,7.731067,12.923302,-0.6750734428571429,-2.3743601571428568,-0.36928442857142857,-1.7482302857142855,-0.3144611904761905,-1.769940880952381,-0.31446585714285713,-1.5227098571428572,-0.6318545095238095,-2.087333366666667,-0.3846044285714286,-1.5928484285714286,-0.6318547857142857,-2.087333880952381,-0.3846043809523809,-1.5928486190476192,-0.6318539523809524,-1.7699395714285715,-0.3846046666666667,-1.522709380952381
AJ,6.823458,13.245029,7.7310553,12.923307,7.7310553,12.923307,7.7310495,12.923308,14.396319,14.396221,-0.6750734285714286,-3.0494335857142856,-0.3692843333333333,-2.117514619047619,-0.6318545095238095,-2.4017953904761904,-0.3846044285714286,-1.907314285714286,-0.6318545095238095,-2.7191878761904764,-0.3846044285714286,-1.9774528571428571,-0.6318547857142857,-2.7191886666666667,-0.3846043809523809,-1.9774530000000001,-0.314461,-2.0844005714285716,-0.31446566666666664,-1.8371750476190476
AS,6.823457,13.245025,7.7310495,12.923302,14.396319,14.396221,14.396319,14.396221,14.396319,14.396221,-0.6750734761904761,-3.7245070619047618,-0.3692845238095238,-2.4867991428571425,-0.6318547857142857,-3.033650176190476,-0.3846046666666667,-2.2919189523809527,-0.314461,-3.0336488761904765,-0.31446566666666664,-2.2919185238095237,-0.314461,-3.033649666666667,-0.31446566666666664,-2.2919186666666667,-0.314461,-2.3988615714285717,-0.31446566666666664,-2.151640714285714
AX,6.8234606,13.2450285,14.396319,14.396221,7.731067,12.923302,7.731067,12.923302,7.731067,12.923302,-0.6750733047619047,-4.399580366666666,-0.3692843571428571,-2.8560834999999996,-0.314461,-3.3481111761904763,-0.31446566666666664,-2.606384619047619,-0.6318539523809524,-3.665502828571429,-0.3846046666666667,-2.6765231904761904,-0.6318539523809524,-3.665503619047619,-0.3846046666666667,-2.6765233333333334,-0.6318539523809524,-3.030715523809524,-0.3846046666666667,-2.536245380952381
AC,0.0,12.871291,0.0,12.871291,7.6252074,9.247159,7.625225,9.247159,13.698914,13.698819,-1.0,-5.399580366666666,-0.387081380952381,-3.2431648809523805,-1.0,-4.348111176190477,-0.387081380952381,-2.993466,-0.6368948857142857,-4.302397714285714,-0.5596590952380952,-3.2361822857142855,-0.6368940476190476,-4.302397666666667,-0.5596590952380952,-3.2361824285714285,-0.34767076190476187,-3.378386285714286,-0.3476752857142857,-2.8839206666666666
AD,6.7690353,8.985508,7.625208,9.247159,7.6252074,9.247159,7.625213,9.247159,7.625208,9.24716,-0.6776649857142858,-6.077245352380952,-0.5721186666666667,-3.815283547619047,-0.6368948571428571,-4.985006033333334,-0.5596590952380952,-3.5531250952380953,-0.6368948857142857,-4.9392926,-0.5596590952380952,-3.7958413809523806,-0.6368946190476191,-4.939292285714286,-0.5596590952380952,-3.7958415238095236,-0.6368948571428571,-4.015281142857143,-0.5596590476190476,-3.4435797142857143
