base_code,SP,TCT,ST,DG,K,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_K,cumulative_frac_diff_K
AA,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.33832,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472
AI,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.67664,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944
AP,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-1.01496,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416
AB,6.947640000000001,8.240270824775909,8.240270824775909,8.240270824775909,14.562369915684998,-0.66916,-1.68412,-0.6076061512011472,-1.4254546048045889,-0.6076061512011472,-1.4254546048045889,-0.6076061512011472,-1.4254546048045889,-0.3065538135388096,-1.1244022671422513
AG,6.947640000000001,14.562369915684998,8.240270824775909,8.240270824775909,8.240270824775909,-0.66916,-2.35328,-0.3065538135388096,-1.7320084183433986,-0.6076061512011472,-2.033060756005736,-0.6076061512011472,-2.033060756005736,-0.6076061512011472,-1.7320084183433986
AJ,6.947640000000001,8.240270824775909,8.240270824775909,8.240270824775909,14.562369915684998,-0.66916,-3.0224399999999996,-0.6076061512011472,-2.339614569544546,-0.6076061512011472,-2.6406669072068834,-0.6076061512011472,-2.6406669072068834,-0.3065538135388096,-2.0385622318822083
AS,6.947640000000001,8.240270824775909,14.562369915684998,14.562369915684998,14.562369915684998,-0.66916,-3.6915999999999993,-0.6076061512011472,-2.947220720745693,-0.3065538135388096,-2.947220720745693,-0.3065538135388096,-2.947220720745693,-0.3065538135388096,-2.345116045421018
AX,6.947640000000001,14.562369915684998,8.240270824775909,8.240270824775909,8.240270824775909,-0.66916,-4.360759999999999,-0.3065538135388096,-3.253774534284503,-0.6076061512011472,-3.5548268719468403,-0.6076061512011472,-3.5548268719468403,-0.6076061512011472,-2.9527221966221653
AC,0.0,0.0,7.527579915685001,7.527579915685001,13.914469089238722,-1.0,-5.360759999999999,-1.0,-4.253774534284503,-0.6415438135388095,-4.1963706854856495,-0.6415438135388095,-4.1963706854856495,-0.33740623384577517,-3.2901284304679406
AD,6.947640000000001,7.527579915685001,7.527579915685001,7.527579915685001,7.527579915685001,-0.66916,-6.029919999999999,-0.6415438135388095,-4.895318347823312,-0.6415438135388095,-4.837914499024459,-0.6415438135388095,-4.837914499024459,-0.6415438135388095,-3.93167224400675
