base_code,SP,TCT,ST,DG,KV,KH,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KH,cumulative_frac_diff_KH
AA,27.790560000000003,30.17582315556771,30.17582315556771,30.17582315556771,30.17582315556771,30.17582315556771,-0.2489037837837837,-0.2489037837837837,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353,-0.18443721201168353
AB,18.52704,21.48895915556771,21.48895915556771,21.48895915556771,29.26953770102225,29.26953770102225,-0.4992691891891892,-0.7481729729729729,-0.4192173201197916,-0.6036545321314751,-0.4192173201197916,-0.6036545321314751,-0.4192173201197916,-0.6036545321314751,-0.2089314134858851,-0.3933686254975686,-0.2089314134858851,-0.3933686254975686
AK,18.52704,29.26953770102225,29.26953770102225,21.48895915556771,29.26953770102225,29.26953770102225,-0.4992691891891892,-1.247442162162162,-0.2089314134858851,-0.8125859456173602,-0.2089314134858851,-0.8125859456173602,-0.4192173201197916,-1.0228718522512668,-0.2089314134858851,-0.6023000389834537,-0.2089314134858851,-0.6023000389834537
AN,18.52704,21.48895915556771,29.26953770102225,21.48895915556771,29.26953770102225,29.26953770102225,-0.4992691891891892,-1.7467113513513512,-0.4192173201197916,-1.2318032657371518,-0.2089314134858851,-1.0215173591032454,-0.4192173201197916,-1.4420891723710585,-0.2089314134858851,-0.8112314524693388,-0.2089314134858851,-0.8112314524693388
AZ,18.52704,21.48895915556771,29.26953770102225,29.26953770102225,29.26953770102225,29.26953770102225,-0.4992691891891892,-2.2459805405405406,-0.4192173201197916,-1.6510205858569433,-0.2089314134858851,-1.2304487725891304,-0.2089314134858851,-1.6510205858569436,-0.2089314134858851,-1.020162865955224,-0.2089314134858851,-1.020162865955224
BK,18.52704,29.26953770102225,21.48895915556771,21.48895915556771,29.26953770102225,21.48895915556771,-0.4992691891891892,-2.74524972972973,-0.2089314134858851,-1.8599519993428284,-0.4192173201197916,-1.6496660927089222,-0.4192173201197916,-2.070237905976735,-0.2089314134858851,-1.229094279441109,-0.4192173201197916,-1.4393801860750157
AC,9.26352,11.403822366534904,20.58267370102225,11.403822366534904,20.58267370102225,28.445641833253656,-0.7496345945945946,-3.4948843243243246,-0.6917885846882459,-2.5517405840310743,-0.4437115215939932,-2.0933776143029155,-0.6917885846882459,-2.762026490664981,-0.4437115215939932,-1.6728058010351021,-0.23119886937152279,-1.6705790554465385
AE,18.52704,20.58267370102225,20.58267370102225,20.58267370102225,28.445641833253656,28.445641833253656,-0.4992691891891892,-3.9941535135135138,-0.4437115215939932,-2.9954521056250676,-0.4437115215939932,-2.5370891358969088,-0.4437115215939932,-3.2057380122589745,-0.23119886937152279,-1.904004670406625,-0.23119886937152279,-1.9017779248180613
AL,9.26352,28.445641833253656,20.58267370102225,20.58267370102225,28.445641833253656,20.58267370102225,-0.7496345945945946,-4.743788108108109,-0.23119886937152279,-3.2266509749965904,-0.4437115215939932,-2.980800657490902,-0.4437115215939932,-3.6494495338529678,-0.23119886937152279,-2.1352035397781477,-0.4437115215939932,-2.3454894464120546
AD,0.0,0.0,19.758777833253657,10.497536911989446,19.758777833253657,27.696645589827668,-1.0,-5.743788108108109,-1.0,-4.22665097499659,-0.4659789774796309,-3.446779634970533,-0.7162827861624474,-4.3657323200154154,-0.4659789774796309,-2.6011825172577785,-0.2514420110857387,-2.596931457497793
AM,0.0,27.696645589827668,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-1.0,-6.743788108108109,-0.2514420110857387,-4.478092986082329,-0.4659789774796309,-3.9127586124501637,-0.4659789774796309,-4.831711297495047,-0.2514420110857387,-2.852624528343517,-0.4659789774796309,-3.062910434977424
