base_code,SP,SP_D,TCT,TCT_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D
AA,15.6148130441946,16.157714038419,16.4583984230549,16.3954840478894,-0.3210950850350174,-0.3210950850350174,-0.2974906939817825,-0.2974906939817825,-0.2844174598671783,-0.2844174598671783,-0.28715286748306956,-0.28715286748306956
AI,14.9175643073898,15.5884018645582,16.3144569672845,16.2950144358546,-0.35141024750479133,-0.6725053325398087,-0.32224339719312173,-0.6197340911749043,-0.2906757840311087,-0.575093243898287,-0.2915211114845826,-0.5786739789676522
AP,14.9404280858042,15.5688911567991,16.2784431669632,16.257477822144,-0.3504161701824261,-1.0229215027222347,-0.3230916888348217,-0.9428257800097259,-0.2922416014363826,-0.8673348453346696,-0.29315313816765215,-0.8718271171353043
AB,8.27580459517067,14.0075065742189,8.34336007319746,13.9691913808757,-0.6401824089056231,-1.6631039116278576,-0.3909779750339609,-1.3338037550436868,-0.6372452142088061,-1.5045800595434757,-0.3926438530054044,-1.2644709701407086
AG,8.25489688441384,14.0278664021003,15.3682870998116,15.3493157764517,-0.6410914398080939,-2.3041953514359514,-0.39009276512607394,-1.7238965201697607,-0.3318136043560174,-1.836393663899493,-0.3326384445021,-1.5971094146428086
AJ,8.22338099518014,14.0826671990061,8.25278920453291,14.0469993439949,-0.6424616958617331,-2.9466570472976845,-0.3877101217823435,-2.111606641952104,-0.6411830780637865,-2.4775767419632797,-0.3892608980871783,-1.986370312729987
AS,7.52369025193315,14.0485995289487,8.38756447974217,13.9441920271117,-0.6728830325246457,-3.6195400798223303,-0.3891913248283174,-2.5007979667804214,-0.6353232834894709,-3.112900025452751,-0.39373078142992607,-2.380101094159913
AX,7.23959180227704,15.2190534112461,15.4675300959842,15.4490960400466,-0.6852351390314331,-4.304775218853763,-0.3383020255979957,-2.8390999923784173,-0.32749869147894783,-3.4403987169316985,-0.32830017217188695,-2.7084012663318
AC,0.0,13.9721426992914,0.0,13.9324809324245,-1.0,-5.304775218853763,-0.3925155348134174,-3.2316155271918348,-1.0,-4.440398716931698,-0.39423995945980433,-3.1026412257916043
AD,7.64864750573233,9.70686396395816,8.19378614592262,9.92030695625439,-0.6674501084464204,-5.972225327300183,-0.5779624363496453,-3.80957796354148,-0.643748428438147,-5.084147145369845,-0.5686823062498092,-3.6713235320414137
AH,0.0,10.0541687421258,14.6484281949803,14.6315110691934,-1.0,-6.972225327300183,-0.5628622286032261,-4.3724401921447065,-0.3631118176095522,-5.447258962979397,-0.3638473448176783,-4.035170876859092
AK,0.0,14.0288441201484,0.0,14.001761117593,-1.0,-7.972225327300183,-0.3900502556457217,-4.762490447790428,-1.0,-6.447258962979397,-0.3912277774959565,-4.426398654355048
AL,0.0,9.30652122169966,0.0,9.21992130453132,-1.0,-8.972225327300183,-0.5953686425347974,-5.357859090325226,-1.0,-7.447258962979397,-0.5991338563247252,-5.025532510679773
AN,0.0,9.29351331306314,0.0,9.20509949075074,-1.0,-9.972225327300183,-0.5959342037798635,-5.95379329410509,-1.0,-8.447258962979397,-0.5997782830108374,-5.625310793690611
AQ,7.37958793619443,7.37860746306585,7.70566716871363,7.70639223875382,-0.6791483506002421,-10.651373677900425,-0.6791909798667021,-6.6329842739717915,-0.6649709926646248,-9.112229955644022,-0.6649394678802686,-6.290250261570879
AV,7.35360757237795,7.39380986355028,7.59325179250049,7.57563199641536,-0.6802779316357414,-11.331651609536166,-0.6785300059325965,-7.311514279904388,-0.6698586177173701,-9.782088573361392,-0.6706246958080279,-6.960874957378907
AY,0.0,7.62411812083871,7.59834744923917,7.59614361194273,-1.0,-12.331651609536166,-0.6685166034417953,-7.980030883346184,-0.6696370674243839,-10.451725640785776,-0.6697328864372727,-7.63060784381618
